B2745;Traction Control Switch Circuit
P215B;Vehicle Speed - Output Shaft Speed Not Plausible
P215C;Output Shaft Speed - Wheel Speed Not Plausible
P2670 or P2671;Actuator High Control Circuit Group 2 Voltage
P27A7;"Transmission Control Solenoid Valve 1 Calibration
Incorrect"
DTC B1325 B1330 B1517 CO800 C0899;"Device Power Circuit/Battery Voltage/System
Voltage/Battery Energy Control Module System"
C0900 C12E1 C12E2 P0561 P0563 P1A0C;"Device Power Circuit/Battery Voltage/System
Voltage/Battery Energy Control Module System"
P1A0D or P1EFC;"Device Power Circuit/Battery Voltage/System
Voltage/Battery Energy Control Module System"
DTC B1516;Battery Current Senso
DTC B151A;Low Battery Capacity Detected
DTC B1527;Parasitic Load
DTC P0A8D;14V Power Module System Voltage Low Voltage
DTC P1F5D or P1F5E;14 Volt Power Module L-Terminal Circuit
DTC P1F59 P1F5A or P1F5B;14 Volt Power Module Status Terminal Circuit
DTC U3001 U3003 U3006 U3009 U3013;Battery Voltage/Control Module
U3014 U3018 U3019 or U350O-U350B;Battery Voltage/Control Module
DTC B3006;Hood Ajar Circuit
DTC P257D P257F;Engine Hood Switch Circuit
DTC P059F or P151E;Active Grille Air Shutte
DTC B0997;Auxiliary Electronic Control Unit Performance
DTC B1024;"Circuit Board Temperature Sensor Above Maximum
Threshold (Audio Amplifier)"
DTC B1024;"Circuit Board Temperature Sensor Below Minimum
Threshold/Circuit Board Temperature Sensor Above
Maximum Threshold (Human Machine Interface
Control Module)"
DTC B1025 B1135;Audio Output Circuits
DTC B124B;USB 1 Circuit
DTC B124F;Universal Serial Bus (USB) Programming
DTC B125A;Antenna Signal Circuit
DTC B125C;Satellite Antenna Circuit
DTC B1271;Theft Protection Active
DTC B127E;Front Video Display Output Signal
DTC B12A8;Optical Media Drive Theft Locked
DTC B1446 or B1447;Backup Power Source
DTC B2455;Cellular Phone Microphone Circuit
DTC B2462;Global Positioning System
DTC B2470;Cellular Phone Antenna Circuit Malfunction
DTC B2476 or B2482;Cellular Phone Select Service Switch
DTC P0571;Cruise Control Brake Switch Circuit
DTC P0572 or P0573;Brake Switch Circuit 1 Low/High Voltage
DTC P0575;"Cruise Control Switch Signal Message Counter
Incorrect"
DTC P0703;Brake Switch Signal Message Counter Incorrect
DTC P158A;Cruise Control Calibration Incorrect
DTC B1000;Electronic Control Unit
DTC B1001;Option Configuration
DTC B1016;"Vehicle Identification Number Information Not
Programmed"
DTC B101D;Electronic Control Unit Hardware
DTC B101E;Electronic Control Unit Software
DTC C056D;Electronic Control Unit Hardware
DTC C056E;Electronic Control Unit Software
DTC P0601 P0607 P060A-P060C P062F;Control Module
P16E9-P16F0 or P262B;Control Module
DTC P06E4;"Control Module Wake-Up Circuit Performance
(Hybrid/EV Powertrain Control Module 2)"
DTC P0A1F P1A01 P1A05 or P1A06;Battery Energy Control Module
DTC P16B7;"Electric A/C Compressor Control Module Wake-Up
Circuit Performance"
DTC P16B8 P16BA;Electric A/C Compressor Control Module
DTC P1E8E P1E91 P1E94-P1E97 P1E9A-;Hybrid/EV Battery Interface Control Module
P1E9D P1EA0-P1EA3 P1F06-P1F09 P1FAC-;Hybrid/EV Battery Interface Control Module
P1FC2 P1FCF-P1FD4 P1FF3 P3031-P3034;Hybrid/EV Battery Interface Control Module
P3037 P303C-P303F or P3042;Hybrid/EV Battery Interface Control Module
DTC P1EB1;"Hybrid/EV Battery Interface Control Module
Software Incompatible"
"DTC P1EB2 P1EB5 P1FA6-P1FAB P3030 or
P303B";Hybrid/EV Battery Interface Control Module
DTC P1EB9;"High Voltage Energy Management Communication
Bus Enable Circuit"
DTC P1EB9;"High Voltage Energy Management Communication
Bus Enable Circuit"
DTC U0020;Low Speed CAN Bus
DTC U0028;MOST Bus
DTC U0029;MOST Bus Performance
DTC U0073 or U2100;"Control Module Communication Bus A Off/CAN
Bus Communication"
DTC U0074;"Control Module Communication Powertrain
Expansion CAN Bus Off"
DTC U0075;"Control Module Communication Object Detection
CAN Bus Off"
DTC U0077;"Control Module Communication Chassis Expansion
CAN Bus Off"
DTC U0078;"Control Module Communication Low Speed CAN
Bus Off"
DTC U007A;"Control Module Communication High Voltage
Energy Management CAN Bus Off"
DTC U179A;"Lost Communication with Hybrid Powertrain
Control Module 2"
DTC U179D;"Lost Communication with Brake System Control
Module 2 on Chassis Expansion Bus"
DTC U1803;"Lost Communication with Hybrid Powertrain
Control Module 2"
DTC U1806;"Battery Energy Control Module High Voltage
Energy Management CAN Bus Off"
DTC U180B;"Battery Energy Control Module High Speed CAN
Bus Off"
DTC U1814;Powertrain Wake-Up Communication Circuit
DTC U1817;Lost Communication with Hybrid Powertrain Control Module on Powertrain Expansion CAN Bus
DTC U1818;"Lost Communication with Engine Control Module
on Powertrain Expansion Communication Bus"
DTC U182D;"Lost Communication with Hybrid Powertrain
Control Module 2 on Powertrain Expansion
Communication Bus"
DTC U182E or U182F;"Drive Motor Control Module Lost Communication
with Hybrid PCM 2 on Powertrain Expansion
Communication Bus"
DTC U1833;"Lost Communication with Electronic Brake Control
Module on Chassis Expansion CAN Bus"
DTC U183E;"Lost Communication with Telematics
Communication Interface Control Module on Low
Speed CAN Bus"
DTC U1845 or U1846;"Drive Motor Control Module Lost Communication
with Hybrid Powertrain Control Module"
DTC U184A;"Lost Communication with Body Control Module on
Low Speed CAN Bus"
DTC U184B;"Lost Communication with Remote Heater and Air
Conditioning Control Module on Low Speed CAN
Bus"
DTC U184C;"Lost Communication with Instrument Cluster on
Low Speed CAN Bus"
DTC U184D;"Lost Communication with Radio on Low Speed
CAN Bus"
DTC U184E;"Lost Communication with Inflatable Restraint
Sensing and Diagnostic Module on Low Speed CAN
Bus"
DTC U185A;"Lost Communication with Battery Energy Control
Module on High Voltage Energy Management CAN
Bus"
DTC U185B;"Battery Energy Control Module Lost
Communication with Hybrid/EV Powertrain Control
Module 2 on High Voltage Energy Management
CAN Bus"
DTC U1860;"Electric A/C Compressor Control Module Lost
Communication with Hybrid Powertrain Control
Module 2"
DTC U1876;"Drive Motor Control Module 1 Lost Communication
with Engine Control Module"
DTC U1879;"Drive Motor Control Module 2 Lost Communication
with Engine Control Module"
DTC U1885;"Battery Energy Control Module Lost
Communication with Hybrid/EV Powertrain Control
Module"
DTC U18A2;"Lost Communication with Fuel Pump Driver Control
Module"
DTC U18B5;"Lost Communication With Hybrid Powertrain
Control Module on Chassis Expansion CAN Bus"
DTC U18B9 U18BF;"Primary/Secondary High Speed CAN Bus Subnet
Configuration List"
DTC U2098;MOST Communication Enable Circuit
DTC U2099;High Speed Communication Enable Circuit
DTC U2160 U2231;Control Module U Code List
DTC U2401;Battery Energy Control Module Dedicated Bus 1 Off
DTC U2602;"Battery Energy Control Module Lost
Communication with Hybrid/EV Powertrain Control
Module 2"
DTC U2603 U2606 or U2617-U2624;"Battery Energy Control Module Lost
Communication with Hybrid/EV Battery Interface
Control Module"
DTC U2616;"Fuel Pump Driver Control Module Lost
Communication with ECM"
DTC U3000;Control Module
DTC U3012;Control Module Improper Wake-up Perfomance
DTC P0010 P0013 or P2088 P2091;Camshaft Position Actuator Solenoid Valve Control
DTC P0011 or P0014;"Intake/Exhaust Camshaft Position System
Performance"
DTC P0016 or P0017;Crankshaft Position
DTC P0030 P0032 P0036-P0038 P0053 P0054;HO2S Heater
P0135 or P0141;HO2S Heater
DTC P0089 P00C6 P228C or P228D;Fuel Pressure Regulator
DTC P0090 P0092 P00C8 P00C9 or P00CA;Fuel Pressure Regulator
DTC P0096 or P0111;Intake Air Temperature (IAT) Sensor 2 Performance
DTC P0097 P0098 or P0099;Intake Air Temperature (IAT) Sensor 2
DTC P00C7;"Intake Air Pressure Measurement System - Multiple
Sensors Not Plausible"
DTC P00F4 P00F6;Intake Air Humidity Sensor
DTC P00FF P069E P06EC P07O0 P0800;Control Module Requested MIL Illumination
P0AC4 P1E00 P2561 P25A2 P25AF P25C9;Control Module Requested MIL Illumination
P26C8 or P26C9;Control Module Requested MIL Illumination
DTC P0101;Mass Air Flow (MAF) Sensor performance
DTC P0102 or P0103;Mass Air Flow (MAF) Sensor
DTC P0106;"Manifold Absolute Pressure (MAP) Sensor
Performance"
DTC P0107 or P0108;Manifold Absolute Pressure (MAP) Sensor
DTC P0112 P0113 or P0114;Intake Air Temperature (IAT) Sensor 1
DTC P0117 P0118 or P0119;Engine Coolant Temperature (ECT) Sensor
DTC P0121 P0123 P0222 P0223 P16A0-;Throttle Position Sensor/Sensor Communication
P16A2 or P2135;Circuit
DTC P0128;"Engine Coolant Temperature (ECT) Below
Thermostat Regulating Temperature"
DTC P0131 P0132 P0137 or P0138;HO2S Circuit Low/High Voltage Sensor
"DTC P0133 P013A P013B P013E P013F
P015A P015B P2270 or P2271";HO2S Slow/Delayed Response
DTC P0171 or P0172;Fuel Trim System
DTC P0191 or P0192;Fuel Rail Pressure Sensor Performance
"DTC P0182 P0183 P0187 P0188 P111F
P126E or P126F";Fuel Temperature Sensor
DTC P018B P018D;Fuel Pressure Sensor
"DTC P0201 P0204 P0261 P0262 P0264 P0265
P0267 P0268 P0270 P0271 P1248 P1249
P124A P124B P2147 P2148 P2150 P2151
P2153 P2154 P2156 or P2157";Cylinder Injector Control
DTC P0231 P0232 or P023F;Fuel Pump Control
DTC P0300 P0304;Engine/Cylinder Misfire Detected
DTC P0315;Crankshaft Position System Variation Not Learned
DTC P0324 P0326 or P06B6;"Knock Sensor System Performance/Control Module
Knock Sensor Processor Performance"
DTC P0325 P0327 or P0328;Knock Sensor Circuit
DTC P0335 or P0336;Crankshaft Position Sensor
DTC P0340 P0341 P0365 or P0366;Intake/Exhaust Camshaft Position Sensor
"DTC P0351 P0354 P2300 P2301 P2303 P2304
P2306 P2307 P2309 or P2310";Ignition Coil Control Circuit
DTC P0401;Exhaust Gas Recirculation (EGR) Flow Insufficient
DTC P0403 P0489 or P0490;Exhaust Gas Recirculation (EGR) Control
DTC P0404 or P042E;"Exhaust Gas Recirculation Open/Closed Position
Performance"
DTC P0405 or P0406;Exhaust Gas Recirculation (EGR) Position Sensor
DTC P040B P040E or P041B-P041E;"Exhaust Gas Recirculation (EGR) Temperature
Sensor"
DTC P0420;Catalyst System Low Efficiency
DTC P043E P043F or P145F;Evaporative Emission (EVAP) System Reference
DTC P0442 or P0455;Evaporative Emission (EVAP) System
DTC P0443 P0458 or P0459;Evaporative Emission (EVAP) Purge Solenoid Valve Control
DTC P0446;"Evaporative Emission (EVAP) Vent System
Performance"
DTC P0449 P0498 or P0499;"Evaporative Emission (EVAP) Vent Solenoid Valve
Control"
DTC P0451 P0453;Fuel Tank Pressure Sensor
DTC P0497;"Evaporative Emission (EVAP) System No Flow
During Purge"
DTC P050D;Cold Start Rough Idle
DTC P057B P057E;Brake Pedal Position Sensor
DTC P0601 P0604 P0606 P062B P062F;Control Module Performance
P0630 P16F3 or P262B;Control Module Performance
DTC P0627 P0629;Fuel Pump Enable Circuit
DTC P0641 P0651 P0697 P06A3 or P06D2;5 V Reference Circuit
DTC P0650 P263A or P263B;Malfunction Indicator Lamp (MIL) Control
DTC P0685 P0690 P1682 P16A7 P16AF or;"Engine Controls Ignition Relay/Ignition 1 Switch
Circuit 2"
P16B3;"Engine Controls Ignition Relay/Ignition 1 Switch
Circuit 2"
DTC P06E4;"Control Module Wake-Up Circuit Performance
(ECM)"
DTC P1101;Intake Air Flow System Performance
DTC P111E;Engine Coolant Temperature Sensor Not Plausible
DTC P1255;"Fuel Pump Control Module Driver High
Temperature"
DTC P127C P128A P128D P128F P16E4 or;"Fuel Rail Pressure Sensor/Sensor Communication
Circuit"
P16E5;"Fuel Rail Pressure Sensor/Sensor Communication
Circuit"
DTC P129E or P12A8;"Fuel Pump Control Signal Message Counter
Incorrect"
DTC P129B or P129C;Fuel Pump Driver Control Module System
DTC P129D;"Fuel Pump Driver Control Module Ignition On/Start
Switch Circuit Low Voltage"
DTC P12A6;"Fuel Pump Driver Control Module Enable Circuit
Performance"
DTC P135A;Ignition Coil Supply Voltage Circuit Bank 1
DTC P1400;Cold Start Emission Reduction Control System
DTC P145C or P145D;Evaporative Emission (EVAP) System
DTC P145E;"Evaporative Emission (EVAP) System Leak
Detection Pump to Vent Solenoid Valve Leak
Detected"
DTC P1461;"Evaporative Emission (EVAP) System Pressure
Incorrect During Fuel Fill Door Open Request"
DTC P1462;"Evaporative Emission (EVAP) System Reference
Orifice Flow Erratic"
DTC P1426;"Exhaust Gas Recirculation (EGR) Valve Internal
Performance"
DTC P1427 P142A or P1437;EGR Temperature Sensor
DTC P1516 P2101 P2119 or P2176;"Throttle Actuator Control (TAC) Module Throttle
Actuator Position Performance"
DTC P15F2;"Engine Torque Command Signal Message Counter
Incorrect"
DTC P15F9;"Hybrid/EV System Engine Speed Control
Intervention Request Type Signal Message Counter
Incorrect"
DTC P15FB;"Brake Pedal Position Sensor Signal Message
Counter Incorrect"
DTC P162D;"Evaporative Emission (EVAP) System Alarm Clock
Signal Not Received"
DTC P163A;"Control Module Fuel Pressure Regulator 1 Control
System Circuitry Performance"
DTC P2096 or P2097;Post Catalyst Fuel Trim System
DTC P2122 P2123 P2127 P2128 or P2138;Accelerator Pedal Position (APP) Sensor
DTC P2199;"Intake Air Temperature (IAT) Sensor 1-2 Not
Plausible"
DTC P219A;Fuel Trim Cylinder Balance
DTC P2227 P2230;Barometric Pressure (BARO) Sensor
DTC P2400 P2402;"Evaporative Emission (EVAP) System Leak
Detection Pump"
DTC P2418 P2420;"Evaporative Emission (EVAP) System Leak
Detection Pump Switching Valve Control Circuit"
DTC P2422;"Evaporative Emission (EVAP) Vent Solenoid Valve
Stuck Closed"
DTC P2450;"Evaporative Emission (EVAP) System Leak
Detection Pump Switching Valve Performance"
DTC P2457;"Exhaust Gas Recirculation (EGR) Cooler Low
Efficiency"
DTC P24B9 P24BB;"Evaporative Emission (EVAP) System Leak
Detection Pump Pressure Sensor"
DTC P2618;"Crankshaft Position Signal Output Circuit Low
Voltage"
DTC P2635;Fuel Pump Flow Performance
DTC P00B3 or P00B4;"Radiator Coolant Temperature (RCT) Sensor Circuit
Low/High Voltage"
DTC P00B7;Engine Coolant Flow Insufficient
DTC P0597 P0599;Engine Coolant Thermostat Heater Control Circuit
DTC P112F;Radiator Coolant Temperature Sensor Not Plausible
DTC P1485 P1487;Cooling Fan Output Circuit
DTC P2181;Engine Cooling System Performance
DTC P06DA P06DE;Engine Oil Pressure Control Solenoid Valve
DTC B0283;Rear Defogger Circuit
DTC B316B B317A B318A or B319A;Window Switch
DTC B3205;Driver Window Motor
DTC B010E;Pedestrian Friendly Alert Audio Output Circuit
DTC B274E or B274F;Low Note Horn Relay Control Circuit
DTC B0163;Passenger Compartment Temperature Sensor Circuit
DTC B0173 or B0178;"Upper Left Duct Air Temperature Sensor
Circuit/Lower Left Duct Air Temperature Sensor
Circuit"
DTC B018A B048C B048F or B1395;"Windshield Temperature Sensor Circuit/Humidity
Sensor Humidity Circuit/Humidity Sensor
Temperature Circuit/Control Module Voltage
Reference Output Circuit Voltage"
DTC B0183;Solar Load Sensor Circuit
DTC B0193;Front Blower Motor Speed Circuit
DTC B0223 B0233 B023A or B0408;"Recirculate Position Command 1 Circuit/Air Flow
Control Circuit/HVAC Actuators Supply
Voltage/Main Temperature Control Circuit"
DTC B048E;Auxiliary Heater System
DTC B3844;Engine Coolant Circulation Pump Circuit
DTC P0531 P0532 or P0533;Air Conditioning (A/C) Refrigerant Pressure Sensor
DTC P0534;Air Conditioning (A/C) Refrigerant Charge Low
DTC P0D69 P0D7F;"A/C Compressor Motor Voltage Sensor/Electric A/C
Compressor Control Module Internal Temperature
Sensor/Electric A/C Compressor Control Module
Output Driver Temperature Sensor"
DTC P151C or P2516 P2518;"Air Conditioning (A/C) Refrigerant Low Side
Pressure Sensor"
DTC P154F;"Electric A/C Compressor motor Input Current-
Positive Contactor State Not Plausible"
DTC P156A P156C;"Air Conditioning (A/C) Pressure Too High when A/C
Off/Air Conditioning (A/C) Pressure Too Low when
A/C On"
DTC P15C6 or P15C8 P15CB;"Electric A/C Compressor Speed Request Signal
Message Counter Incorrect/Electric A/C Compressor
Data Message Counter Incorrect/Electric A/C
Compressor Status Message Counter
Incorrect/Electric A/C Compressor Sensors Signal
Message Counter Incorrect/Electric A/C Compressor
Sensors Status Message Counter Incorrect"
DTC P1F0A P1F0D;"A/C Compressor Motor Speed Performance/A/C
Compressor Motor Start-Up Current
Performance/Electric A/C Compressor Control
Module A/C Compressor Motor Current Feedback
Circuit Voltage"
DTC P15C5 P2682 P2683 P26A5 P26A7;"Engine Coolant Bypass Valve Position
Sensor/Engine Coolant Bypass Valve Control
Circuits"
P26A9 P26AD or P26AE;"Engine Coolant Bypass Valve Position
Sensor/Engine Coolant Bypass Valve Control
Circuits"
DTC P0335 or P0336;Crankshaft Position Sensor
DTC P0506 or P0507;Idle Speed Low/High
DTC P0601 P0604 P0606 P062F P1EB6 or;"Control Module (Hybrid/EV Powertrain Control
Module 1)"
P1EB7;"Control Module (Hybrid/EV Powertrain Control
Module 1)"
DTC P061A or P061B;Control Module Torque System
DTC P06AF;"Torque Management System Performance - Forced
Engine Shutdown"
DTC P06B1 P06B2 P06B4 P06B5 P06E7 or;Sensor Supply Voltage
P06E8;Sensor Supply Voltage
DTC P0A1B or P0A1C;Drive Motor Control Module Performance
DTC P0A3F P0A40 P0C52 P0C53 P0C5C;Drive Motor 1 Position Sensor
P0C5D or P1B03;Drive Motor 1 Position Sensor
DTC P0A45 P0A46 P0C57 P0C58 P0C61;Drive Motor Position Sensor
P0C62 or P1B04;Drive Motor Position Sensor
DTC P0A5E P0A61 P0A64 P0A67 P0A6A or;Drive Motor Phase
P0A6D;Drive Motor Phase
DTC P0A78 or P0A79;Drive Motor Inverter Performance
DTC P0AB9;Hybrid/EV System Performance
DTC P0AEE P0AEF P0AF0 P0AF3 P0AF5;Drive Motor Inverter Temperature Sensor
P0BD2-P0BD4 P0BD7-P0BD9 P0BDC-P0BDE;Drive Motor Inverter Temperature Sensor
or P0BE1-P0BE3;Drive Motor Inverter Temperature Sensor
DTC P0B01 P0B04 or P0B07;Auxiliary Transmission Fluid Pump Low Current
DTC P0BE6 P0BE8 P0BEA-P0BEC P0BEE;Drive Motor
P0BEF P0BF0 P0BF2-P0BF4 P0BF6-P0BF8 or;Drive Motor
P0BFA-P0BFC;Drive Motor
DTC P0BFD or P0BFE;Drive Motor Phases `V-W Not Plausible
DTC P0C01 or P0C04;Drive Motor High Current
DTC P0C0B or P0C0E;Drive Motor Inverter Supply Voltage Circuit
DTC P0C11 P0C16;Drive Motor Inverter Phase
DTC P0C17 P0C18 P1B0F or P1B10;Drive Motor Position
DTC P0C19;Drive Motor 1 Torque Delivered Performance
DTC P0C1A;Drive Motor 2 Torque Delivered Performance
DTC P0C28;Auxiliary Transmission Fluid Pump High Current
DTC P0C4E;Drive Motor 1 Position Exceeded Learning Limit
DTC P0C4F;Drive Motor 2 Position Exceeded Learning Limit
DTC P0C76;Hybrid/EV Battery System High Voltage Present
DTC P150D or P150E;Supply Voltage Circuit
DTC P15F0;"Engine Torque Delivered Signal Message Counter
Incorrect"
DTC P15F1;"Axle Torque Request Signal Message Counter
Incorrect"
DTC P15F2;"Engine Torque Command Signal Message Counter
Incorrect"
DTC P15FC;"Hybrid/EV Battery Contactor Status Message
Counter Incorrect"
DTC P16E0;Engine Performance - No Torque Detecte
DTC P16F3;"Control Module Redundant Memory Performance
(Hybrid/EV Powertrain Control Module 1)"
DTC P16F4;"Control Module Transmission Range Switch
(Hybrid/EV Powertrain Control Module 1)"
DTC P16F6;"Control Module Transmission Range Calculation
Performance (Hybrid/EV Powertrain Control
Module 1)"
DTC P179A;Auxiliary Transmission Fluid Pump Overspeed
DTC P190A P190F;Drive Motor Inverter Phase
DTC P1A4F P1A50 P1A54 P1ADC or P1ADD;Drive Motor Control Module
DTC P1ADE P1ADF P1AE0 or P1AE1;Drive Motor Control Module System
DTC P1AEE or P1AEF;"Drive Motor Control Module Hybrid/EV Battery
System Voltage High Voltage"
DTC P1AF0 or P1AF2;"Drive Motor Control Module Hybrid/EV Battery
Voltage System Isolation Lost"
DTC P1AF4 P1AF7;"Drive Motor Control Module Hybrid/EV Battery
Voltage Isolation Sensing Circuit"
DTC P1B0B or P1B0C;"Drive Motor 1 Control Module Hybrid/EV Battery
Voltage Isolation Sensing Circuit"
DTC P1B0D or P1B0E;"Drive Motor Control Module Drive Motor
Overspeed"
DTC P1B15;"Regenerative Braking Torque Request Signal
Message Counter Incorrect"
DTC P1B41 or P1B42;"Drive Motor Control Module Hybrid/EV Battery
Voltage Isolation Sensing Performance"
DTC P1B43 or P1B44;"Drive Motor Control Module Hybrid/EV Battery
Voltage Isolation Sensing Circuit"
DTC P1E0A or P1E0B;"Drive Motor Control Module Torque Calculation
Performance"
DTC P1E1B P1E1F;"Auxiliary Transmission Fluid Pump Control Module
Hybrid/EV Battery Voltage Isolation Sensing Circuit"
DTC P1E22;"Auxiliary Transmission Fluid Pump Control Module
Hybrid/EV Battery Voltage System Isolation Lost"
DTC P1E29;"Auxiliary Transmission Fluid Pump Control Module
Calculated Motor Position Performance"
DTC P1E2A P1E2F;Auxiliary Transmission Fluid Pump Phase
DTC P1E34 P1E36;"Auxiliary Transmission Fluid Pump Inverter
Temperature Sensor"
DTC P1E37;"Auxiliary Transmission Fluid Pump Inverter High
Temperature"
DTC P1E38;"Auxiliary Transmission Fluid Pump Inverter Supply
Voltage Circuit"
;"Auxiliary Transmission Fluid Pump Inverter Supply
Voltage Circuit"
DTC P1E39;"Auxiliary Transmission Fluid Pump Inverter
Performance"
DTC P1E3A;"Auxiliary Transmission Fluid Pump Motor Torque
Delivered Performance"
DTC P1E4A or P1E4B;"Control Module Redundant Drive Motor 1 Speed
Sensing Circuit"
DTC P1F00;"Auxiliary Transmission Fluid Pump Inverter
Temperature Sensor Circuit Erratic"
DTC P1F63 P1F65;Hybrid/EV System Voltage Discharge Circuit
DTC P2797;Auxiliary Transmission Fluid Pump Performance
DTC P3260;Internal Control Module Drive Motor Control Performance
DTC P0480;Cooling Fan Relay Control Circuit
DTC P0A7E;Hybrid/EV Battery Pack High Temperature
DTC P0A9C P0A9E P0AC6-P0ACD P0AE9-;Hybrid/EV Battery Temperature Sensor
P0AEB P0BC3-P0BC5 or P0C34-P0C36;Hybrid/EV Battery Temperature Sensor
DTC P0C43 P0C46;"Hybrid/EV Battery Pack Coolant Temperature
Sensor"
DTC P0C47 P1E8C or P1E8D;Hybrid/EV Battery Pack Coolant Pump
DTC P0CE9 P1F44 or P1F45;Hybrid/EV Electronics Coolant Pump
DTC P0CEF P0CF2;Hybrid/EV Electronics Coolant Temperature Sensor
DTC P19FA P19FC;Hybrid/EV Electronics Coolant Pump Feedback
DTC P19FD P19FF;"Hybrid/EV Battery Pack Coolant Pump Feedback
Circuit"
DTC P148A P148C;Cooling Fan Signal Circuit
DTC P1EC6;Hybrid/EV Battery Pack Heater Performance
DTC P1FFB P1FFE;Hybrid/EV Battery Pack Coolant Level
DTC P1FFF;"System Isolation/Coolant Level Sensor Fault -
Hybrid/EV Battery Charging System Disabled"
DTC P0A0C or P0A0D;High Voltage System Interlock Circuit Voltage
DTC P0A7F;Hybrid/EV Battery Pack
